mileage,reg_code,standard_colour,standard_make,standard_model,vehicle_condition,year_of_registration,price,body_type,crossover_car_and_van,fuel_type,advert_year,vehicle_age,avg_miles_per_year
6000,69,WHITE,KIA,CEED,USED,2019,14495,HATCHBACK,0,DIESEL,2020,1,6000
60000,64,BLACK,AUDI,A1,USED,2014,8500,HATCHBACK,0,PETROL,2020,6,10000
14598,66,GREEN,KIA,SPORTAGE,USED,2016,16500,SUV,0,DIESEL,2020,4,3649
5267,20,BLUE,SKODA,SUPERB,USED,2020,29990,HATCHBACK,0,PETROLPLUG-INHYBRID,2020,0,5267
70928,16,BLACK,LANDROVER,DISCOVERYSPORT,USED,2016,18000,SUV,0,DIESEL,2020,4,17732
36435,12,SILVER,VAUXHALL,CORSA,USED,2012,3890,HATCHBACK,0,PETROL,2020,8,4554
5318,69,GREY,MINI,COUNTRYMAN,USED,2019,29990,SUV,0,PETROLPLUG-INHYBRID,2020,1,5318
21237,66,BLACK,HYUNDAI,I20,USED,2016,7495,HATCHBACK,0,PETROL,2020,4,5309
30200,16,SILVER,AUDI,A3,USED,2016,12790,HATCHBACK,0,DIESEL,2020,4,7550
78932,13,WHITE,SKODA,CITIGO,USED,2013,3791,HATCHBACK,0,PETROL,2020,7,11276
179000,14,GREY,AUDI,A6AVANT,USED,2014,14995,ESTATE,0,DIESEL,2020,6,29833
22000,14,BLUE,AUDI,RS5,USED,2014,26500,COUPE,0,PETROL,2020,6,3666
57851,67,BLUE,HONDA,CIVIC,USED,2017,12845,HATCHBACK,0,PETROL,2020,3,19283
17000,17,WHITE,TOYOTA,AYGO,USED,2017,6495,HATCHBACK,0,PETROL,2020,3,5666
53102,17,BLACK,MERCEDES-BENZ,CCLASS,USED,2017,14900,ESTATE,0,DIESEL,2020,3,17700
20000,67,RED,SSANGYONG,TIVOLI,USED,2017,9980,SUV,0,PETROL,2020,3,6666
56000,12,GREY,AUDI,A8,USED,2012,12399,SALOON,0,DIESEL,2020,8,7000
10853,68,WHITE,JAGUAR,E-PACE,USED,2018,27568,SUV,0,PETROL,2020,2,5426
54000,66,GREY,LANDROVER,RANGEROVEREVOQUE,USED,2016,20495,SUV,0,DIESEL,2020,4,13500
30000,60,BLUE,PEUGEOT,107,USED,2010,3460,HATCHBACK,0,PETROL,2020,10,3000
54001,63,RED,BMW,1SERIES,USED,2013,8579,HATCHBACK,0,DIESEL,2020,7,7714
24000,65,WHITE,MINI,HATCH,USED,2016,9590,HATCHBACK,0,DIESEL,2020,4,6000
21633,16,BLUE,VOLKSWAGEN,GOLF,USED,2016,11895,HATCHBACK,0,PETROL,2020,4,5408
5484,68,SILVER,VAUXHALL,CORSA,USED,2018,9989,HATCHBACK,0,PETROL,2020,2,2742
46000,14,BLACK,BMW,4SERIES,USED,2014,15489,CONVERTIBLE,0,DIESEL,2020,6,7666
92762,10,GREY,BMW,1SERIES,USED,2010,3489,HATCHBACK,0,PETROL,2020,10,9276
20995,66,SILVER,TOYOTA,C-HR,USED,2016,15495,SUV,0,PETROL,2020,4,5248
11670,19,BLUE,NISSAN,QASHQAI,USED,2019,17995,SUV,0,PETROL,2020,1,11670
15444,69,SILVER,NISSAN,QASHQAI,USED,2019,17250,SUV,0,PETROL,2020,1,15444
2103,70,BLACK,DSAUTOMOBILES,DS7CROSSBACK,USED,2020,26990,SUV,0,DIESEL,2020,0,2103
25065,17,BLACK,HYUNDAI,TUCSON,USED,2017,11500,SUV,0,DIESEL,2020,3,8355
19384,18,WHITE,RENAULT,CLIO,USED,2018,9250,HATCHBACK,0,PETROL,2020,2,9692
87000,16,SILVER,BMW,3SERIES,USED,2016,12479,SALOON,0,PETROLPLUG-INHYBRID,2020,4,21750
17500,17,BLACK,VOLKSWAGEN,POLO,USED,2017,9900,HATCHBACK,0,PETROL,2020,3,5833
130000,54,SILVER,VOLKSWAGEN,GOLF,USED,2004,895,HATCHBACK,0,DIESEL,2020,16,8125
11900,18,BLACK,BMW,3SERIES,USED,2018,27995,ESTATE,0,DIESEL,2020,2,5950
48000,60,SILVER,SAAB,9-3,USED,2010,5950,CONVERTIBLE,0,DIESEL,2020,10,4800
31800,54,GREY,PORSCHE,911,USED,2004,32000,CONVERTIBLE,0,PETROL,2020,16,1987
11477,66,BLUE,VOLVO,V40,USED,2016,13500,HATCHBACK,0,PETROL,2020,4,2869
72000,57,BLUE,FIAT,BRAVO,USED,2007,1795,HATCHBACK,0,PETROL,2020,13,5538
29330,65,BLACK,BMW,3SERIES,USED,2015,11995,SALOON,0,PETROL,2020,5,5866
24555,66,BLUE,TOYOTA,PRIUS,USED,2016,16499,HATCHBACK,0,PETROLHYBRID,2020,4,6138
26965,16,BLACK,AUDI,A1,USED,2016,13995,HATCHBACK,0,PETROL,2020,4,6741
58385,59,SILVER,HONDA,CIVIC,USED,2009,4495,HATCHBACK,0,PETROL,2020,11,5307
72000,59,SILVER,NISSAN,PIXO,USED,2009,1695,HATCHBACK,0,PETROL,2020,11,6545
5,20,SILVER,VAUXHALL,CROSSLANDX,USED,2020,14450,SUV,0,PETROL,2020,0,5
35000,16,WHITE,MERCEDES-BENZ,GLACLASS,USED,2016,28995,SUV,0,PETROL,2020,4,8750
33000,18,SILVER,NISSAN,JUKE,USED,2018,10250,SUV,0,PETROL,2020,2,16500
78936,14,RED,MERCEDES-BENZ,ECLASS,USED,2014,12895,COUPE,0,DIESEL,2020,6,13156
29412,67,GREY,AUDI,Q5,USED,2017,26500,SUV,0,PETROL,2020,3,9804
13012,16,BLACK,FIAT,500X,USED,2016,7995,SUV,0,PETROL,2020,4,3253
67596,66,WHITE,VAUXHALL,COMBO,USED,2016,6500,VANS,0,DIESEL,2020,4,16899
7,70,BLUE,HONDA,CIVIC,USED,2020,21290,HATCHBACK,0,PETROL,2020,0,7
43493,67,GREY,BMW,5SERIES,USED,2017,20990,SALOON,0,DIESEL,2020,3,14497
84696,66,RED,JAGUAR,F-PACE,USED,2016,20950,SUV,0,DIESEL,2020,4,21174
88667,07,RED,MITSUBISHI,COLT,USED,2007,1295,HATCHBACK,0,PETROL,2020,13,6820
